# Rating curve at Daguerre Point Dam from 2008	
# From file: DPD-stage-discharge-2008.csv	
# Range of discharge: 300 cfs - 6750 cfs (For higher values switch over to the file YRS_DCS_DPD_stagge_v_discharge-curve.xlsx	
# file creation date: June 9, 2023 by Sebastian Schwindt	
#	
Z(2)	Q(2)
masl	m3/s
37.958	8.495
37.962	9.203
37.965	9.911
37.969	10.619
37.972	11.327
37.976	12.035
37.979	12.743
37.982	13.451
37.986	14.158
37.989	14.866
37.992	15.39
37.993	15.574
37.996	16.282
37.999	16.99
38.003	17.698
38.006	18.406
38.006	18.491
38.009	19.001
38.009	19.114
38.012	19.822
38.016	20.53
38.019	21.238
38.022	21.946
38.025	22.653
38.026	22.795
38.028	23.361
38.03	23.814
38.031	24.069
38.034	24.777
38.035	24.919
38.037	25.485
38.041	26.193
38.044	26.901
38.047	27.609
38.05	28.317
38.073	33.98
38.096	39.644
38.117	45.307
38.137	50.97
38.157	56.634
38.176	62.297
38.194	67.96
38.211	73.624
38.227	79.287
38.243	84.951
38.258	90.614
38.273	96.277
38.287	101.941
38.301	107.604
38.314	113.267
38.327	118.931
38.339	124.594
38.351	130.257
38.363	135.921
38.374	141.584
38.388	148.663
38.401	155.743
38.415	162.822
38.427	169.901
38.44	176.98
38.452	184.06
38.464	191.139
